type,zone,deal_price,year_price,month_price,deposit_price,people,2024ratio,age_2024,age_2529,age_3034,man_total,man_youth,man_2024,man_2529,man_3034,wo_total,wo_youth,wo_2024,wo_2529,wo_3034
연립다세대,도심권,6099,3816,724,51556,113079,28,31974,42510,38595,236726,55256,14990,21051,19215,249705,57823,16984,21459,19380
연립다세대,동북권,4714,3263,492,39796,648941,32,208578,237872,202491,1440455,323214,100770,120364,102080,1512887,325727,107808,117508,100411
연립다세대,서북권,5136,3488,583,32728,262461,30,78302,98456,85703,546798,124871,36504,47173,41194,597682,137590,41798,51283,44509
연립다세대,서남권,4721,3568,496,38658,712059,27,193396,279245,239418,1432831,353960,92064,137958,123938,1476505,358099,101332,141287,115480
연립다세대,동남권,7378,5007,630,74420,441769,29,126168,159003,156598,996371,211995,61880,75543,74572,1066847,229774,64288,83460,82026
단독주택,도심권,8585,3220,1261,98541,113079,28,31974,42510,38595,236726,55256,14990,21051,19215,249705,57823,16984,21459,19380
단독주택,동북권,5752,2977,1087,127000,648941,32,208578,237872,202491,1440455,323214,100770,120364,102080,1512887,325727,107808,117508,100411
단독주택,서북권,6815,3035,1448,114447,262461,30,78302,98456,85703,546798,124871,36504,47173,41194,597682,137590,41798,51283,44509
단독주택,서남권,5631,2723,1376,99029,712059,27,193396,279245,239418,1432831,353960,92064,137958,123938,1476505,358099,101332,141287,115480
단독주택,동남권,10110,4025,2188,306662,441769,29,126168,159003,156598,996371,211995,61880,75543,74572,1066847,229774,64288,83460,82026
오피스텔(40이하),도심권,6670,5224,692,9535,113079,28,31974,42510,38595,236726,55256,14990,21051,19215,249705,57823,16984,21459,19380
오피스텔(40초과),도심권,7494,5545,1555,19389,113079,28,31974,42510,38595,236726,55256,14990,21051,19215,249705,57823,16984,21459,19380
오피스텔(40이하),동북권,5367,4058,545,8858,648941,32,208578,237872,202491,1440455,323214,100770,120364,102080,1512887,325727,107808,117508,100411
오피스텔(40초과),동북권,4000,3176,838,17273,648941,32,208578,237872,202491,1440455,323214,100770,120364,102080,1512887,325727,107808,117508,100411
오피스텔(40이하),서북권,6364,5081,594,9602,262461,30,78302,98456,85703,546798,124871,36504,47173,41194,597682,137590,41798,51283,44509
오피스텔(40초과),서북권,5750,4561,1346,34159,262461,30,78302,98456,85703,546798,124871,36504,47173,41194,597682,137590,41798,51283,44509
오피스텔(40이하),서남권,5038,4087,494,10828,712059,27,193396,279245,239418,1432831,353960,92064,137958,123938,1476505,358099,101332,141287,115480
오피스텔(40초과),서남권,5110,4267,1084,45902,712059,27,193396,279245,239418,1432831,353960,92064,137958,123938,1476505,358099,101332,141287,115480
오피스텔(40이하),동남권,6634,5338,666,9558,441769,29,126168,159003,156598,996371,211995,61880,75543,74572,1066847,229774,64288,83460,82026
오피스텔(40초과),동남권,7413,5426,1631,72708,441769,29,126168,159003,156598,996371,211995,61880,75543,74572,1066847,229774,64288,83460,82026
아파트,도심권,34980,19330,5111,233925,113079,28,31974,42510,38595,236726,55256,14990,21051,19215,249705,57823,16984,21459,19380
아파트,동북권,63824,38870,7324,755321,648941,32,208578,237872,202491,1440455,323214,100770,120364,102080,1512887,325727,107808,117508,100411
아파트,서북권,27196,15872,3026,320624,262461,30,78302,98456,85703,546798,124871,36504,47173,41194,597682,137590,41798,51283,44509
아파트,서남권,59841,35726,6396,715696,712059,27,193396,279245,239418,1432831,353960,92064,137958,123938,1476505,358099,101332,141287,115480
아파트,동남권,59118,28276,5989,719614,441769,29,126168,159003,156598,996371,211995,61880,75543,74572,1066847,229774,64288,83460,82026
