지 역,2019년 07월,2019년 08월,2019년 09월,2019년 10월,2019년 11월,2019년 12월,2020년 01월,2020년 02월,2020년 03월,2020년 04월,2020년 05월,2020년 06월
전국,4270,4270,4275,4291,4313,4358,4585,4609,4650,4666,4670,4697
수도권,5999,6006,6020,6052,6092,6172,6562,6600,6671,6699,6707,6743
지방권,2643,2638,2634,2634,2639,2651,2726,2736,2748,2753,2754,2773
6대광역시,3286,3284,3287,3293,3306,3329,3471,3488,3525,3543,3553,3580
5대광역시,3240,3239,3240,3247,3260,3284,3402,3417,3429,3434,3436,3458
9개도,3207,3205,3207,3212,3223,3245,3388,3421,3472,3499,3512,3540
8개도,2092,2083,2075,2069,2067,2068,2103,2107,2110,2111,2111,2123
서울,9666,9683,9703,9769,9847,10010,10897,10896,10895,10862,10827,10843
경기,4367,4372,4384,4401,4425,4470,4710,4774,4874,4928,4953,4998
인천,3464,3456,3464,3468,3479,3498,3731,3758,3883,3951,3989,4039
부산,3442,3433,3423,3416,3420,3452,3592,3597,3598,3595,3596,3602
대구,3585,3580,3579,3583,3590,3602,3722,3732,3732,3726,3724,3733
광주,2851,2846,2844,2843,2844,2845,2882,2884,2884,2883,2881,2879
대전,2993,3024,3064,3117,3173,3226,3417,3469,3536,3579,3594,3702
울산,2806,2802,2798,2805,2820,2840,2918,2939,2957,2966,2972,2990
세종,4161,4152,4148,4148,4150,4199,4623,4739,5016,5121,5137,5263
강원,1931,1916,1901,1893,1889,1882,1922,1920,1923,1923,1920,1924
충북,1936,1927,1919,1911,1906,1906,1958,1961,1965,1968,1976,2044
충남,2170,2167,2164,2165,2169,2175,2209,2216,2220,2222,2224,2231
전북,1868,1861,1851,1846,1841,1838,1876,1879,1883,1887,1889,1894
전남,2071,2072,2072,2074,2074,2074,2096,2097,2098,2098,2098,2103
경북,1805,1797,1790,1786,1782,1777,1806,1805,1803,1801,1800,1802
경남,2282,2268,2255,2246,2244,2252,2288,2296,2302,2305,2303,2311
제주,4174,4162,4147,4131,4114,4100,4143,4134,4127,4117,4100,4091
