zone,region,people,youth,senior,r_youth,age_2024,age_2529,age_3034,age_3539,age_4044,age_4549,age_5054,age_5559,age_6064,age_6569,age_7074,age_7579,age_80up
도심권,종로구,"144,958","33,192","66,889",23,"10,609","12,614","9,969","9,811","9,582","12,292","12,348","12,181","10,675","7,729","6,204","5,550","6,270"
도심권,중구,"121,928","28,467","57,335",23,"7,725","10,687","10,055","10,040","8,477","9,308","9,930","10,158","9,422","6,951","5,439","4,580","5,032"
도심권,용산구,"219,545","51,420","103,245",23,"13,640","19,209","18,571","18,812","16,134","18,313","17,759","16,908","15,319","10,737","8,491","7,265","8,761"
동북권,성동구,"292,068","69,281","137,876",24,"20,075","25,281","23,925","25,433","21,648","23,471","23,609","23,053","20,662","14,128","10,970","8,976","9,056"
동북권,광진구,"344,399","91,615","157,940",27,"26,470","35,799","29,346","27,276","24,676","27,993","27,609","26,301","24,085","16,485","12,236","9,442","9,473"
동북권,동대문구,"338,924","79,992","154,552",24,"25,992","29,751","24,249","26,180","23,833","26,622","26,398","26,094","25,425","18,926","14,906","12,424","12,102"
동북권,중랑구,"388,916","83,985","187,941",22,"24,050","31,682","28,253","29,553","26,768","30,570","33,556","35,043","32,451","23,033","17,287","13,118","12,504"
동북권,성북구,"434,141","95,099","200,706",22,"32,562","34,135","28,402","32,196","31,639","38,461","35,483","32,527","30,400","22,103","17,899","14,856","15,149"
동북권,강북구,"306,363","61,641","144,959",20,"20,132","22,911","18,598","20,746","21,157","25,934","26,038","26,046","25,038","19,009","15,909","13,375","12,120"
동북권,도봉구,"325,348","63,446","156,243",20,"21,015","23,087","19,344","22,357","21,783","27,215","28,362","28,458","28,068","19,831","15,024","12,081","12,608"
동북권,노원구,"523,183","103,882","247,853",20,"38,282","35,226","30,374","35,429","38,245","48,949","45,836","41,218","38,176","27,281","20,398","16,281","18,045"
서북권,은평구,"471,568","98,071","223,113",21,"29,626","36,398","32,047","36,417","35,250","40,823","38,425","36,923","35,275","25,850","20,968","16,827","16,641"
서북권,서대문구,"306,053","71,365","139,256",23,"22,808","26,897","21,660","23,030","21,643","25,288","24,746","23,328","21,221","15,204","12,724","10,899","11,935"
서북권,마포구,"366,859","93,025","168,155",25,"25,868","35,161","31,996","32,654","28,908","31,840","27,693","25,034","22,026","15,470","12,731","10,933","11,793"
서남권,양천구,"452,769","87,130","219,121",19,"29,554","30,748","26,828","32,072","35,848","43,335","39,798","35,964","32,104","23,024","16,193","11,247","11,879"
서남권,강서구,"580,138","136,348","271,050",24,"34,941","51,989","49,418","50,717","44,772","46,369","42,280","43,836","43,076","30,809","22,484","15,277","16,365"
서남권,구로구,"400,480","85,608","189,012",21,"23,876","31,485","30,247","33,007","30,573","32,420","30,963","31,322","30,727","23,025","17,935","12,899","12,116"
서남권,금천구,"228,392","54,612","108,237",24,"14,614","21,874","18,124","17,059","15,046","17,773","19,325","20,464","18,570","13,063","9,951","7,445","6,816"
서남권,영등포구,"366,081","92,182","167,576",25,"21,879","35,883","34,420","32,432","26,529","28,189","27,399","27,371","25,656","18,695","14,634","11,251","11,878"
서남권,동작구,"389,434","98,515","174,757",25,"28,211","38,446","31,858","30,976","28,461","30,571","28,976","28,645","27,128","20,152","16,301","12,519","12,826"
서남권,관악구,"492,042","157,664","206,298",32,"40,321","68,820","48,523","38,807","32,745","35,546","33,679","33,417","32,104","24,940","20,329","15,746","13,655"
동남권,서초구,"420,599","85,656","198,242",20,"25,284","30,337","30,035","34,354","36,301","40,239","33,295","28,069","25,984","19,586","15,629","10,574","10,811"
동남권,강남구,"529,263","113,407","249,245",21,"33,212","40,879","39,316","42,952","45,553","51,529","42,988","34,659","31,564","24,660","19,442","12,951","12,983"
동남권,송파구,"662,431","148,640","313,798",22,"40,840","53,646","54,154","57,681","52,647","55,402","51,871","49,632","46,565","33,866","23,370","15,225","15,679"
동남권,강동구,"450,925","94,066","216,654",21,"26,832","34,141","33,093","37,989","35,506","36,899","35,355","36,000","34,905","25,099","17,630","11,637","11,630"
